Host Name,Operating System,IP Address,Fdqn
host434,Ubuntu 22.04 (Workstation),192.168.202.75,host434.corp.local
host435,Windows 10 (Workstation),192.168.146.154,host435.corp.local
host436,Windows 10 (Workstation),192.168.0.241,host436.corp.local
host437,Windows Server 2019 (Server),192.168.26.152,host437.corp.local
host438,Windows 10 (Workstation),192.168.103.171,host438.corp.local
host439,Ubuntu 20.04 (Workstation),192.168.47.247,host439.corp.local
host440,CentOS 7 (Workstation),192.168.186.26,host440.corp.local
host441,Windows Server 2022 (Server),192.168.33.140,host441.corp.local
host442,CentOS 7 (Workstation),192.168.199.141,host442.corp.local
host443,Windows Server 2019 (Server),192.168.249.167,host443.corp.local
host444,Debian 11 (Workstation),192.168.90.79,host444.corp.local
host445,Windows 11 (Workstation),192.168.97.25,host445.corp.local
host446,Windows Server 2022 (Server),192.168.203.35,host446.corp.local
host447,Ubuntu 22.04 (Workstation),192.168.224.188,host447.corp.local
host448,Ubuntu 20.04 (Server),192.168.77.129,host448.corp.local
host449,Windows 10 (Workstation),192.168.222.210,host449.corp.local
host450,Ubuntu 22.04 (Workstation),192.168.109.143,host450.corp.local
host451,Ubuntu 22.04 (Workstation),192.168.27.184,host451.corp.local
host452,Debian 11 (Workstation),192.168.155.31,host452.corp.local
host453,Debian 11 (Server),192.168.38.177,host453.corp.local
host454,Windows Server 2019 (Server),192.168.182.18,host454.corp.local
host455,Windows Server 2019 (Server),192.168.228.250,host455.corp.local
host456,Windows Server 2022 (Server),192.168.253.212,host456.corp.local
host457,Debian 11 (Server),192.168.206.197,host457.corp.local
host458,Windows Server 2022 (Server),192.168.65.104,host458.corp.local
host459,Debian 11 (Workstation),192.168.218.52,host459.corp.local
host460,Windows 11 (Workstation),192.168.133.104,host460.corp.local
host461,Windows Server 2022 (Server),192.168.199.70,host461.corp.local
host462,Ubuntu 22.04 (Workstation),192.168.156.249,host462.corp.local
host463,Ubuntu 20.04 (Workstation),192.168.127.132,host463.corp.local
host464,Windows 10 (Workstation),192.168.214.148,host464.corp.local
host465,Ubuntu 20.04 (Server),192.168.117.236,host465.corp.local
host466,Windows 10 (Workstation),192.168.171.229,host466.corp.local
host467,Ubuntu 20.04 (Workstation),192.168.171.7,host467.corp.local
host468,Windows Server 2019 (Server),192.168.195.89,host468.corp.local
host469,Windows Server 2019 (Server),192.168.78.180,host469.corp.local
host470,Windows 11 (Workstation),192.168.73.119,host470.corp.local
host471,Ubuntu 20.04 (Workstation),192.168.209.55,host471.corp.local
host472,Windows Server 2022 (Server),192.168.120.214,host472.corp.local
host473,CentOS 7 (Server),192.168.187.177,host473.corp.local
host474,CentOS 7 (Workstation),192.168.208.149,host474.corp.local
host475,Windows Server 2019 (Server),192.168.215.96,host475.corp.local
host476,Debian 11 (Server),192.168.79.73,host476.corp.local
host477,Windows Server 2019 (Server),192.168.142.158,host477.corp.local
host478,Ubuntu 20.04 (Server),192.168.27.79,host478.corp.local
host479,CentOS 7 (Server),192.168.22.228,host479.corp.local
host480,Debian 11 (Server),192.168.90.82,host480.corp.local
host481,Ubuntu 22.04 (Server),192.168.223.21,host481.corp.local
host482,Windows 10 (Server),192.168.249.127,host482.corp.local
host483,Ubuntu 22.04 (Workstation),192.168.106.128,host483.corp.local
host484,Windows 10 (Workstation),192.168.195.178,host484.corp.local
host485,Debian 11 (Workstation),192.168.110.57,host485.corp.local
host486,Ubuntu 20.04 (Workstation),192.168.59.155,host486.corp.local
host487,Windows Server 2022 (Server),192.168.59.203,host487.corp.local
host488,Ubuntu 20.04 (Workstation),192.168.245.234,host488.corp.local
host489,Windows 11 (Server),192.168.249.75,host489.corp.local
host490,Ubuntu 22.04 (Server),192.168.2.224,host490.corp.local
host491,Debian 11 (Server),192.168.238.38,host491.corp.local
host492,Windows Server 2019 (Server),192.168.247.71,host492.corp.local
host493,Ubuntu 22.04 (Server),192.168.87.170,host493.corp.local
host494,Windows 11 (Server),192.168.234.61,host494.corp.local
host495,Debian 11 (Workstation),192.168.105.74,host495.corp.local
host496,Windows Server 2019 (Server),192.168.67.131,host496.corp.local
host497,Windows 11 (Workstation),192.168.119.12,host497.corp.local
host498,Windows 11 (Server),192.168.131.17,host498.corp.local
host499,Debian 11 (Workstation),192.168.122.15,host499.corp.local
host500,Windows 11 (Workstation),192.168.224.30,host500.corp.local
